#{"t_start": 1781727376.9474878, "env_id": "EPuckLidarParkingEnv-v0"}
r,l,t
91.434668,98,2383.65036
89.405967,104,2386.386956
89.946139,87,2388.664052
86.655308,100,2391.878152
-112.693773,96,2394.427129
81.397336,112,2397.37911
90.552052,97,2399.937176
89.154204,99,2402.536931
88.761341,112,2405.629401
85.051531,114,2408.636611
87.930323,90,2411.040053
91.147167,115,2414.060632
-114.501601,93,2416.542002
91.587538,99,2419.660033
86.110199,89,2421.99973
90.267197,83,2424.232335
93.587392,90,2426.638785
96.656468,88,2431.232409
100.054194,87,2433.527285
87.084308,98,2436.036609
86.495287,106,2438.792576
93.632484,103,2441.473042
90.503383,87,2443.807567
81.573655,101,2446.627624
77.03294,106,2449.473371
72.041751,105,2452.388892
79.040614,90,2454.799864
95.66307,87,2457.109672
88.779444,104,2460.414746
93.126877,84,2462.646742
88.748784,100,2465.368938
83.882145,104,2468.120699
-134.990128,97,2470.766799
93.334597,90,2473.217743
90.123424,109,2476.109482
86.164724,103,2478.826436
86.797843,82,2481.015023
85.38614,103,2483.760388
91.502681,90,2486.495782
96.382637,88,2490.555125
90.217519,90,2493.627763
85.530092,100,2496.565604
93.70473,83,2499.030461
92.823067,101,2502.079552
90.099447,84,2504.587628
90.602548,97,2507.412989
92.823078,88,2510.436593
90.890275,87,2513.913073
90.859127,98,2516.749671
97.803491,87,2519.29351
91.708754,99,2522.661175
92.528564,87,2525.069603
91.898055,87,2527.459165
92.401171,103,2530.861503
81.539184,107,2534.346995
78.612645,101,2537.404377
89.270005,104,2540.888712
79.995835,95,2544.670143
93.342156,102,2548.022014
90.658476,87,2550.782497
89.773926,97,2553.963428
89.569757,100,2558.451442
88.633306,96,2562.351484
85.513385,101,2565.977279
95.18659,111,2570.047644
84.449494,111,2574.523743
94.130142,96,2578.626764
94.309664,96,2581.730646
93.077572,91,2584.683439
90.476355,96,2588.350372
92.795835,87,2591.798682
98.657719,91,2595.287739
93.845854,111,2598.341466
92.189383,96,2602.200812
101.286253,100,2606.585142
103.578007,85,2609.783993
96.92475,98,2613.859559
103.221685,101,2617.949696
99.945124,85,2620.830644
93.365023,102,2624.69941
89.911117,96,2628.304143
93.24359,107,2632.023084
98.082991,100,2635.408136
80.326471,109,2638.717359
93.261274,89,2641.555414
92.36023,116,2645.069697
93.727691,99,2648.714086
94.548019,99,2651.994121
92.729169,107,2655.57153
91.706533,109,2659.179901
94.259472,106,2662.563328
90.579931,95,2666.384089
89.267336,110,2670.277577
93.009141,92,2673.15495
94.896699,99,2676.30246
91.656862,98,2679.326708
91.708895,99,2683.033111
93.207177,102,2686.536905
92.621116,94,2689.795261
95.161115,110,2693.175246
93.280275,102,2696.047983
96.701201,90,2698.504013
99.128033,94,2701.133193
94.998357,96,2703.889741
93.81409,102,2706.937712
95.815837,83,2709.690489
98.307849,87,2712.395821
93.749436,88,2716.05679
97.241254,93,2719.216183
96.239595,116,2723.1689
89.398239,87,2726.036742
95.057531,94,2728.691219
95.913648,83,2731.083385
99.353957,81,2733.382868
98.565957,96,2735.948277
99.376477,103,2738.848282
96.771666,88,2741.431519
97.188248,96,2744.296673
97.315364,104,2748.399697
99.532405,89,2751.687214
-100.986329,31,2753.041831
100.52445,83,2756.459763
97.805471,94,2759.214851
97.488091,79,2761.65011
-106.578597,92,2764.982195
94.349535,101,2768.191056
99.225601,84,2770.831333
96.150778,92,2773.912416
-110.145637,96,2776.860702
89.931138,100,2780.779675
96.131003,102,2786.319845
102.62807,70,2790.079576
98.049588,84,2793.08765
91.821551,97,2796.397721
95.295503,89,2800.824556
102.481304,75,2803.601618
96.490374,90,2807.00077
100.520385,100,2810.795826
97.723533,92,2814.987132
98.541479,97,2819.342989
99.497346,90,2823.184134
95.304921,89,2827.12806
91.82364,105,2831.477433
97.467835,98,2834.479412
95.101283,99,2837.867608
-99.480168,28,2838.785816
93.255921,97,2842.430726
97.01998,93,2845.088273
94.519777,77,2847.450557
-105.645481,103,2850.608921
95.169163,108,2854.131178
98.019512,97,2857.10298
93.935158,86,2859.765747
94.076395,99,2862.627091
96.744812,103,2865.667864
94.800131,93,2868.81337
96.550562,81,2872.101815
99.212052,81,2874.706861
98.87996,99,2878.018069
95.938773,95,2881.61473
98.616123,95,2884.629218
98.502612,101,2887.475746
100.503741,97,2890.2925
97.907774,100,2893.365286
94.171951,90,2896.92667
97.120713,104,2900.540249
94.133248,87,2903.970619
96.359478,104,2908.680616
96.749805,79,2911.801521
97.838003,81,2914.772776
96.309905,96,2917.87007
96.839844,77,2919.972903
94.518649,101,2922.880071
92.176002,98,2925.547534
94.135253,103,2928.302453
93.781949,105,2931.479686
98.155985,80,2933.645114
98.163309,97,2936.274462
93.848372,102,2939.641735
102.79815,81,2941.829735
100.412419,86,2944.261861
97.611465,86,2947.859284
97.750893,101,2950.850614
99.522001,78,2953.13492
98.590136,83,2955.313779
99.271387,81,2957.824354
92.933315,116,2961.188018
98.083183,97,2963.909505
93.919776,77,2965.97657
95.248601,85,2968.202212
100.170664,88,2972.569401
105.083446,76,2975.762566
107.824225,75,2978.681863
-131.84342,96,2982.290896
-109.186964,89,2985.195568
87.669269,101,2988.391219
94.014962,107,2991.680499
91.186927,92,2995.053096
100.135483,75,2998.290394
100.35161,87,3001.406625
98.320805,100,3005.217731
101.171963,84,3008.762606
100.654527,99,3012.786264
97.730298,101,3016.290801
98.486861,103,3019.447144
96.92581,84,3022.919551
-103.340678,95,3026.867444
94.074462,96,3030.395802
98.200775,94,3033.714968
103.106801,92,3037.458502
100.195657,75,3040.192883
96.735394,102,3044.220076
95.511883,110,3047.603482
89.573252,84,3049.907948
