#{"t_start": 1781740124.1269634, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
98.436188,104,4612.418359
101.289753,104,4618.159545
100.942083,109,4624.018297
101.576044,90,4628.853528
95.987542,106,4634.606946
93.613281,102,4640.007602
94.47676,112,4646.082349
99.894999,105,4651.765723
88.613995,115,4658.120315
98.519674,111,4664.181804
99.892164,93,4669.134211
98.525857,87,4673.829954
97.366364,113,4679.810524
95.191885,122,4687.762472
91.979336,105,4694.261059
98.873432,89,4699.075053
96.66032,113,4705.155402
101.163765,116,4711.476261
94.871627,113,4717.600734
100.80694,100,4723.027082
98.602258,111,4728.966669
87.724915,123,4735.562785
97.479878,112,4741.508016
84.684211,104,4747.285957
91.300273,118,4753.623032
100.789291,102,4759.112259
96.485504,109,4764.995714
97.474011,107,4770.720603
88.884805,106,4776.514908
92.439528,103,4782.103704
98.517859,102,4787.676333
100.413771,86,4792.301261
95.536967,101,4797.747216
97.015551,95,4802.845812
99.177439,95,4807.900979
101.344099,99,4813.192393
91.377264,121,4819.812501
101.051382,106,4825.50363
97.179514,108,4831.34824
95.730986,118,4837.738138
86.998727,124,4845.301727
95.957188,113,4851.548778
96.608825,105,4857.42917
98.019131,94,4862.489642
100.111305,99,4867.88672
93.258583,94,4872.907268
85.014315,119,4879.375718
96.360055,93,4884.371499
93.522361,92,4889.320353
95.832794,104,4894.948758
100.799243,95,4900.113231
98.03747,92,4905.096266
101.669061,97,4910.207843
98.0978,89,4914.90266
91.556237,111,4920.816707
96.88147,110,4926.684827
96.601823,106,4932.397422
100.171203,111,4938.652727
99.435065,96,4943.834801
98.11971,117,4950.192
99.577083,100,4955.598537
82.216283,120,4962.046992
88.026083,113,4968.214308
97.142848,108,4973.99127
94.760474,111,4979.964637
101.83747,111,4985.925043
102.329498,85,4990.59533
96.070852,95,4995.770953
97.868113,107,5001.562589
-101.812431,102,5007.020469
103.464848,105,5012.69519
91.65388,122,5019.239097
90.580606,101,5024.743921
98.576529,107,5030.515798
93.918304,107,5036.265873
96.962346,102,5041.727108
98.280743,96,5046.924045
96.101107,117,5053.219799
99.440381,116,5059.497228
99.390319,109,5065.321672
99.988127,91,5070.232147
98.963431,115,5076.332337
86.169733,108,5082.057944
102.020162,102,5087.700027
98.643519,107,5093.492296
101.48986,110,5099.665035
102.184066,108,5105.882497
97.1349,102,5111.895753
100.448936,92,5116.996231
103.212746,93,5122.38414
101.357088,109,5128.239959
83.931798,100,5133.605299
99.045074,103,5139.05297
90.842736,104,5144.589962
99.505001,110,5150.35664
100.035285,112,5156.291958
99.767196,102,5161.738767
103.218785,111,5167.707513
87.324849,98,5172.906387
102.339849,106,5178.63808
99.334198,97,5184.111255
102.083444,113,5190.175444
82.800611,125,5196.823526
99.266931,108,5202.579962
101.411923,111,5208.424262
99.336197,93,5213.29081
99.105251,99,5218.586549
96.381561,99,5223.805133
94.610235,94,5229.036799
99.756394,100,5234.360466
100.878686,84,5238.794939
93.94636,96,5243.876044
100.677765,95,5248.909012
99.284407,96,5253.985017
100.944205,115,5260.121488
96.543772,103,5265.635059
96.521354,100,5270.948345
91.236002,108,5276.778816
98.900858,95,5281.857199
101.904837,112,5287.993983
101.364717,86,5292.60142
100.954934,115,5298.68086
93.762354,109,5304.36986
93.879085,97,5309.478014
90.301454,120,5315.881163
95.790098,109,5321.61891
99.005725,112,5327.620034
86.091411,115,5332.865517
97.139902,101,5335.87204
100.297373,104,5338.991032
94.74454,121,5342.616003
98.505123,93,5345.339302
99.301614,94,5350.574523
102.129238,110,5356.511135
94.074759,102,5362.263031
98.511519,102,5367.693708
100.928533,95,5372.703604
104.089536,97,5377.755393
95.935212,117,5383.966785
100.228664,96,5389.057248
104.063909,107,5394.627939
96.254282,96,5399.715636
101.807767,101,5405.063214
99.588227,99,5410.592294
97.883534,117,5416.820041
98.42505,102,5422.371007
79.921641,101,5427.791327
100.221872,101,5433.15915
100.606051,97,5438.19241
99.748047,90,5442.983412
99.759203,108,5448.788825
98.359362,108,5454.555089
97.733041,99,5459.845937
97.72003,95,5464.84724
93.386418,107,5470.972882
101.134886,85,5475.435484
98.562388,93,5480.299535
96.644135,107,5486.029071
91.498603,115,5492.133229
101.706191,99,5497.43423
101.568105,88,5502.034697
99.220664,92,5506.937915
83.835719,122,5513.464053
95.083551,112,5519.509786
98.460896,114,5525.579218
88.010854,119,5532.171373
93.84446,125,5538.801192
103.060162,94,5543.773753
101.011898,102,5549.425756
88.048257,122,5555.932367
96.95366,112,5561.959888
90.540711,105,5567.69553
101.558491,97,5572.84087
96.532278,111,5578.741539
95.871584,92,5583.635999
103.954417,106,5589.4749
103.333432,87,5594.077304
101.882364,108,5599.70117
67.013727,113,5605.756131
88.844763,115,5611.917069
102.515513,114,5617.98571
94.865793,104,5623.507229
101.397941,92,5628.425608
99.414883,99,5633.939379
101.399334,112,5639.827372
101.416142,85,5644.319605
82.387653,124,5650.89005
98.365582,109,5656.642204
95.813318,107,5662.344642
90.918316,106,5667.899285
93.961584,109,5673.741508
103.757934,88,5678.402571
99.354123,109,5684.192403
96.676936,100,5689.56106
87.065133,104,5695.251849
86.301816,104,5700.782634
100.394158,99,5706.03713
101.092115,88,5710.726556
92.359374,97,5715.792428
97.917023,119,5722.233071
94.746602,105,5728.060513
96.969728,106,5733.596772
84.8192,122,5740.07213
98.539986,103,5745.543716
74.923607,125,5752.342789
94.040908,101,5757.662333
100.272954,111,5763.465223
97.561026,102,5768.868349
103.779376,94,5773.886568
100.342405,109,5779.687624
91.790823,118,5786.056834
90.813288,102,5791.54142
86.644466,106,5797.199651
100.787487,107,5802.832725
100.218314,112,5808.741588
101.505661,89,5813.802244
102.397033,87,5818.445312
101.526244,97,5823.527123
99.439375,126,5830.262238
101.398018,103,5835.672247
99.594974,113,5841.716471
95.557443,120,5848.051702
103.822948,110,5853.893159
86.650936,98,5859.428579
81.394918,98,5864.611018
97.955294,98,5869.822115
98.91532,111,5875.717952
102.055389,94,5880.6967
97.848174,112,5886.684888
104.098969,87,5891.35005
102.401738,91,5896.145142
100.520499,104,5901.690372
97.211903,117,5907.904845
103.30044,105,5913.555671
103.279594,90,5918.541168
