#{"t_start": 1781747159.5238495, "env_id": "EPuckLidarParkingEnvSAC-v0"}
r,l,t
68.905066,107,4484.229503
77.990866,103,4488.711964
93.049227,104,4493.066876
78.356993,111,4497.789962
68.729724,128,4503.278782
79.09961,111,4507.976382
79.205281,111,4512.84707
83.303097,111,4517.5834
90.020637,108,4522.237219
79.959304,103,4526.739793
78.239618,106,4531.251835
78.028531,105,4535.712836
85.935769,91,4539.612301
68.760086,112,4544.95817
90.354195,89,4549.166032
80.698774,106,4553.617503
83.629773,113,4558.7248
88.614864,100,4563.333714
67.381289,130,4571.28141
78.119119,98,4576.589221
88.871555,90,4581.264642
67.810774,118,4587.232609
80.089186,98,4592.239896
69.7528,94,4597.460439
96.645785,86,4601.879513
80.612267,115,4607.573232
88.99644,105,4612.483003
69.869539,122,4618.544066
85.656381,97,4623.595907
77.129597,111,4629.879899
80.153989,90,4635.041603
64.858432,127,4641.549479
76.781427,96,4646.713654
75.890853,113,4653.067644
79.998208,100,4658.666959
67.219668,130,4665.818422
89.935721,100,4670.576015
75.303411,117,4676.472064
65.291001,101,4681.250234
82.537091,101,4686.593259
80.223719,94,4692.153597
70.426596,126,4698.650393
89.463801,93,4703.416176
86.312692,107,4709.608958
88.156078,90,4714.422581
91.091021,86,4719.365599
85.847644,98,4724.639877
79.419486,105,4730.137612
72.127922,113,4735.837938
95.572137,100,4741.093465
82.341118,91,4745.866624
65.325537,124,4753.444232
67.451266,101,4759.441293
98.720713,96,4763.949536
71.072543,107,4769.638661
62.651822,126,4775.757479
82.120593,94,4780.122054
79.416443,102,4785.031161
95.926146,90,4789.056326
81.300524,115,4794.506343
83.396059,106,4799.687892
85.037151,92,4803.95102
101.167426,92,4808.17173
86.439023,92,4812.344772
76.519811,117,4817.742937
75.515064,99,4822.521797
82.74352,100,4827.083938
74.927768,129,4833.212141
87.22498,114,4838.521819
67.511995,103,4843.206005
77.366759,110,4848.841084
79.081387,99,4853.390114
73.757836,114,4858.768883
69.828617,130,4864.978604
90.141301,97,4870.222524
64.341726,96,4875.361954
50.53029,127,4881.907507
76.642322,91,4886.430613
77.016862,121,4892.539462
71.736011,114,4897.926517
80.662706,109,4903.151052
89.793468,101,4907.920614
82.639165,98,4912.601683
88.514266,91,4916.827801
